ID,Title,Author,ISBN-10,ISBN-13,ASIN,Publisher,Year Published,Page Count,Category,Format,Ownership Status,Date Added,Is Favorite,Book Source,Reading Status,Start Date,End Date,Rating
25035737,"Finding Truth: 5 Principles for Unmasking Atheism, Secularism, and Other God Substitutes",Nancy R. Pearcey,,,,David C Cook,2015,388,,Paperback,Not Owned,"May 27, 2021",No,manual,Wishlist,,,0/5
18994167,Domain-Driven Design: Tackling Complexity in the Heart of Software,Evans Eric,,,,Addison-Wesley Professional,2003,563,,Paperback,Not Owned,"May 27, 2021",No,manual,Wishlist,,,0/5
_b8EwwEACAAJ,Precious Remedies Against Satan's Devices,Thomas Brooks,,9781848718623,,Banner of Truth,2019,288,Poetry,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Wishlist,,,0/5
VAsfvgAACAAJ,Talk Like TED,Carmine Gallo,,9781250061539,,St. Martin's Griffin,2015,0,Business & Economics,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Wishlist,,,0/5
ICSpCwAAQBAJ,Sprint,Jake Knapp,9781501121746,,,Simon and Schuster,2016,288,Business & Economics,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Reading,"Feb 18, 2024",,0/5
ZkR0DwAAQBAJ,Discrimination and Disparities,Thomas Sowell,,9781541617834,,Basic Books,2019,320,"Business & Economics, Social Science, Political Science",Paperback,Not Owned,"May 11, 2021",No,googleBooks,Finished,,,0/5
43885149,Dominion: How the Christian Revolution Remade the World,Tom Holland,,,,,0,0,,Paperback,Not Owned,"May 9, 2021",No,goodreads,Finished,,,0/5
BA0UAAAAQAAJ,The History of the Renowned Don Quixote de la Mancha. ... by Miguel de Cervantes Saavedra. Translated by Several Hands: and Publish'd by Peter Motteux. Adorn'd with New Sculptures. ...,Miguel de Cervantes Saavedra,,,,J. Knaplock; D. Midwinter; and W. Churchill,1719,360,,Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,,5/5
k_LQBAAAQBAJ,Les Miserables,Victor Hugo,,9781776585076,,The Floating Press,2014,2121,"Classics, General",Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,,5/5
TEsrDwAAQBAJ,Cheap Sex,Mark Regnerus,,9780190673611,,Oxford University Press,2017,281,Psychology,Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,,5/5
2368,Mornings on Horseback,David McCullough,,,,,0,0,,Paperback,Not Owned,"May 9, 2021",No,goodreads,Finished,,,0/5
W9KF_I-DB9EC,The Spirit of the Disciplines - Reissue,Dallas Willard,,9780060694425,,Zondervan,1990,292,Religion,Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,,4/5
Du5kvAEACAAJ,The Divine Conspiracy,Dallas Willard,9780060693336,,,HarperOne,1998,448,Religion,Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,,4/5
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,,,,,0,0,,Paperback,Not Owned,"May 9, 2021",No,goodreads,Finished,,,5/5
YdOYmYA2TJYC,The Black Swan,Nassim Nicholas Taleb,9780812979183,,,Random House,2009,366,,Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,,4/5
20186,Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,James C. Scott,,,,,0,0,,Paperback,Not Owned,"May 9, 2021",No,goodreads,Finished,,,5/5
31625593,The Benedict Option: A Strategy for Christians in a Post-Christian Nation,Rod Dreher,,,,,0,0,,Paperback,Not Owned,"May 9, 2021",No,goodreads,Finished,,,3/5
8558622,Farenhajt 451,Ray Bradbury,,,,Laguna,2003,191,,Paperback,Not Owned,"May 9, 2021",No,manual,Finished,,,3/5
kotPYEqx7kMC,1984,George Orwell,,9780547249643,,HarperCollins,2013,304,"Classics, Literary, Dystopian, Political",Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,,0/5
Ol6xDwAAQBAJ,Apocalypse Never,Michael Shellenberger,,9780063001701,,HarperCollins,2020,432,Science,Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,"Apr 1, 2021",4/5
dAhzEAAAQBAJ,War and Peace,Leo Tolstoy,,8596547001409,,DigiCat,2022,1456,"Romance, Literary Criticism",Paperback,Not Owned,"Jan 19, 2021",No,googleBooks,Finished,,"May 9, 2021",0/5
ytIfuJ8zzeUC,Karl Marx: A Nineteenth-Century Life,Jonathan Sperber,,9780871404671,,W. W. Norton & Company,2013,687,Biography & Autobiography,Paperback,Not Owned,"May 9, 2021",No,googleBooks,Finished,,"Apr 27, 2021",0/5
Tb00PitOrZMC,Crime and Punishment,Fyodor Dostoevsky,,9780679640035,,Random House Publishing Group,1999,656,"Classics, Literary, Psychological",Paperback,Not Owned,"Apr 2, 2018",No,googleBooks,Finished,,,5/5
110867024,The Brothers Karamazov: Fyodor Dostoevsky's Last Novel (Annotated),Fyodor Dostoevsky,,9798376108598,,,0,0,,Paperback,Not Owned,"Apr 2, 2018",No,goodreads,Finished,,,4/5
2623,Great Expectations,Charles Dickens,,,,,0,0,,Paperback,Not Owned,"Apr 2, 2018",No,goodreads,Finished,,,0/5
wemvDwAAQBAJ,Macbeth,William Shakespeare,,9780743477109,,Simon and Schuster,2003,304,Drama,Paperback,Not Owned,"Apr 2, 2018",No,googleBooks,Finished,,,0/5
WCI4AQAAMAAJ,Othello,William Shakespeare,,,,"Bliss, Sands",1898,144,,Paperback,Not Owned,"Apr 2, 2018",No,googleBooks,Finished,,,0/5
5CBvDaWGdUAC,Gulliver's Travels,Jonathan Swift,,9780141439495,,Penguin,2003,340,Fiction,Paperback,Not Owned,"Apr 2, 2018",No,googleBooks,Finished,,,0/5
HQdPEAAAQBAJ,The Aeneid,Virgil,,9780679729525,,Vintage,1990,465,Poetry,Paperback,Not Owned,"Apr 2, 2018",No,googleBooks,Finished,,,0/5
Jf_7HiRbQ-IC,The Scarlet Letter,Nathaniel Hawthorne,,9780142437261,,Penguin,2003,282,Fiction,Paperback,Not Owned,"Apr 2, 2018",No,googleBooks,Finished,,,0/5
1TosAQAAIAAJ,Manhood for Amateurs,Michael Chabon,36105124124988,,,Harper,2009,328,Biography & Autobiography,Paperback,Not Owned,"Dec 8, 2012",No,googleBooks,Finished,,,0/5
SiLXAAAAMAAJ,Pursuit of Truth,Willard Van Orman Quine,39015031599304,,,,1992,136,Philosophy,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,3/5
tmNNfSkfTlcC,Design Patterns,Erich Gamma,,9783827330437,,Pearson Deutschland GmbH,1995,512,Computers,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
4Wu2QgAACAAJ,After Virtue,Alasdair C. MacIntyre,,9780268006112,,,1984,286,Philosophy,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Wishlist,,,0/5
5BAFAAAACAAJ,The God Who Is There,Francis A. Schaeffer,9780830819478,,,IVP Books,1998,0,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
139855,Knowing God,J.I. Packer,,,,,0,0,,Paperback,Not Owned,"Jun 28, 2012",No,goodreads,Finished,,,4/5
ANfH1fmvBKIC,The Cost of Discipleship,Dietrich Bonhoeffer,,9780684815008,,Simon and Schuster,1995,320,Philosophy,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Wishlist,,,0/5
32dY-DjEzcoC,The Holiness of God,R. C. Sproul,,9780842339650,,"Tyndale House Publishers, Inc.",2000,203,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
jvWswb_s1oEC,The Cross of Christ,John Stott,,9780830833207,,InterVarsity Press,2006,573,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Wishlist,,,0/5
PJidOwAACAAJ,A Praying Life,Paul Miller,,9781600063008,,NavPress Publishing Group,2009,0,Prayer,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Wishlist,,,0/5
ayJpGQeyxgkC,To Kill a Mockingbird 40th,Harper Lee,,9780060194994,,HarperCollins Christian Publishing,1999,323,"General, Classics, Literary, Legal, Coming of Age, Family Life, African American & Black",Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
UdnSAAAAMAAJ,The Catcher in the Rye,J.D. Salinger,39015047545176,,,Back Bay Books,2001,232,Fiction,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,3/5
90HozgEACAAJ,The Great Gatsby,F. Scott Fitzgerald,,9781638434665,,Michela Carpentino,2022,0,"General, Romance",Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
DjEGvymiKPoC,The Castle of Llyr,Lloyd Alexander,9780805080506,,,Macmillan,2006,212,Juvenile Fiction,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
zIvzT2k1mvkC,The High King,Lloyd Alexander,9780805080520,,,Macmillan,2006,276,Juvenile Fiction,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
19a89tylSp8C,Taran Wanderer,Lloyd Alexander,9780805080513,,,Macmillan,2006,260,Juvenile Fiction,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
24780,"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,,,,,0,0,,Paperback,Not Owned,"Jun 28, 2012",No,goodreads,Finished,,,4/5
tbwsTtuHmX4C,The Black Cauldron,Lloyd Alexander,,9780805080490,,Macmillan,2006,216,Juvenile Fiction,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
WZ0f_yUgc0UC,The Return Of The King,J.R.R. Tolkien,9780547952048,,,HarperCollins,2012,432,"Young Adult Fiction, Fantasy, Fairy Tales, Folk Tales, Legends & Mythology, Classics, Media Tie-In",Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,5/5
UMkPPsTIoh8C,The Two Towers,John Ronald Reuel Tolkien,9780618346264,,,Mariner Books,2003,354,Fiction,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,5/5
JZ5UFcsMaKAC,The Lord of the Rings,John Ronald Reuel Tolkien,9780618346257,,,,2003,434,"Fantasy fiction, English",Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,5/5
5907,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,,,,Houghton Mifflin,2002,366,,Paperback,Not Owned,"Jun 28, 2012",No,manual,Finished,,,5/5
pWyLDQAAQBAJ,Slaughterhouse-Five,Kurt Vonnegut,9780385333849,,,Dial Press Trade Paperback,1999,285,Fiction,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,2/5
u0W4zg1OzBEC,The Bonfire of the Vanities,Tom Wolfe,9781429960564,,,"Farrar, Straus and Giroux",2002,704,"Literary, Satire, World Literature",Paperback,Owned,"Jun 28, 2012",No,googleBooks,Finished,"Apr 12, 2024","Apr 14, 2024",4/5
bs5vDwAAQBAJ,How the Irish Saved Civilization,Thomas Cahill,,9780385418492,,Anchor,1996,274,History,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,3/5
0Rtu8kCpvz4C,Personal Knowledge,Michael Polanyi,9780415151498,,,Psychology Press,1998,503,"Knowledge, Theory of",Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
Lafvo9ghqBsC,The Structure of Scientific Revolutions,Thomas S. Kuhn,,9780226458083,,,1996,230,Philosophy,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,5/5
cTqsF2XCMR8C,The Screwtape Letters,C. S. Lewis,9780060652890,,,Harper Collins,2001,228,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
11138,Mere Christianity,C.S. Lewis,,,,,0,0,,Paperback,Not Owned,"Jun 28, 2012",No,goodreads,Finished,,,5/5
5ZuPjdO8LLoC,Extreme Programming Installed,Ron Jeffries,,9780201708424,,Addison-Wesley Professional,2001,292,Computers,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,3/5
32RGBAAAQBAJ,Extreme Programming Explained,Kent Beck,,9780321278654,,Pearson Education,2004,218,Computers,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,3/5
izy9Tg6rmb8C,"Godel, Escher, Bach",Douglas R. Hofstadter,,9780465026562,,Basic Books,1999,314,Philosophy,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
0IqepmcENYEC,God's Big Picture,Vaughan Roberts,,9780830863891,,InterVarsity Press,2012,160,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
235714,Dynamics of Spiritual Life: An Evangelical Theology of Renewal,Richard F. Lovelace,,,,,0,0,,Paperback,Not Owned,"Jun 28, 2012",No,goodreads,Finished,,,0/5
XHQQAQAAIAAJ,"The Way of the (modern) World, Or, Why It's Tempting to Live as If God Doesn't Exist",Craig M. Gay,36105111622895,,,Regent College Publishing,1998,364,Philosophy,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
RYfsWMRJpQkC,Outgrowing the Ingrown Church,C. John Miller,,9780310284116,,Zondervan,1986,184,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
G9kSn8K1IywC,An Old Testament Theology,Bruce K. Waltke,,9780310218975,,Zondervan,2007,1042,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
-eUbFMEY49QC,The Reason for God,Timothy Keller,,9780525950493,,Penguin,2008,332,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
mgdKCyS1bToC,The Innovator's Dilemma,Clayton M. Christensen,,9780060521998,,Harper Collins,2003,324,Business & Economics,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
WXcHwzaUd4MC,Getting Things Done,David Allen,,9780142000281,,Penguin,2001,292,Business & Economics,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
V2YzmAEACAAJ,The Reason for Sports,Ted Kluck,,9780802458360,,,2009,0,Sports,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
3YYNAAAACAAJ,Understanding Dispensationalists,Vern S. Poythress,,9780875523743,,P & R Publishing,1993,0,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
rDWTvBVXeG8C,The Gift of Being Yourself,David G. Benner,,9780830832453,,InterVarsity Press,2004,124,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
_92CMWUPv3UC,Celebration of Discipline,Richard J. Foster,,9780060628390,,Zondervan,1988,266,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
111275,Charles G. Finney and the Spirit of American Evangelicalism (Library of Religious Biography (LRB)),Charles E. Hambrick-Stowe,,,,,0,0,,Paperback,Not Owned,"Jun 28, 2012",No,goodreads,Finished,,,0/5
CzMlqAAACAAJ,Simply Christian,N. T. Wright,,9780060507152,,HarperOne,2006,240,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
rlcFAAAACAAJ,The Enemy Within,Kris Lundgaard,,9780875522012,,P & R Publishing,1998,0,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
SIonngEACAAJ,Redemption,Mike Wilkerson,9781433520778,,,Crossway Books,2011,0,"Exodus, The",Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
3116205,The Prodigal God: Recovering the Heart of the Christian Faith,Timothy J. Keller,,,,,0,0,,Paperback,Not Owned,"Jun 28, 2012",No,goodreads,Finished,,,5/5
E6DpzgEACAAJ,How to Inhabit Time,James K. A. Smith,,9781587435232,,Baker Publishing Group,2022,208,Religion,Hardcover,Owned,"Mar 17, 2024",No,googleBooks,To Read,"Mar 17, 2024",,0/5
4bEty3TO-R8C,Getting to Yes,Roger Fisher,9781440673108,,,Penguin,1991,224,Business & Economics,Paperback,Owned,"Mar 17, 2024",No,googleBooks,Finished,"Mar 17, 2024","Apr 22, 2024",3/5
a-jkDwAAQBAJ,The Art of Leadership,Michael Lopp,,9781492045649,,"""O'Reilly Media, Inc.""",2020,198,"Business & Economics, Computers",Paperback,Owned,"Mar 17, 2024",No,googleBooks,Finished,"Mar 17, 2024",,0/5
bCeZQgAACAAJ,The One Minute Manager,Kenneth H. Blanchard,,9780007107926,,Harper Collins,2004,111,,Paperback,Owned,"Apr 13, 2024",No,googleBooks,Wishlist,,,0/5
_g2g1iz8yIMC,After Enlightenment,John R. Betz,,9780470674925,,John Wiley & Sons,2012,384,Religion,Paperback,Owned,"May 4, 2024",No,googleBooks,Wishlist,,,0/5
SCbNEAAAQBAJ,Ghosted,Nancy French,,9780310367451,,Zondervan,2024,288,"Biography & Autobiography, Political Science, Religion",Audiobook,Owned,"May 17, 2024",No,googleBooks,Finished,,"May 17, 2024",0/5
gueZIor5UXYC,The Tao of Pooh,Benjamin Hoff,,9780140067477,,Penguin Books,1983,158,"Humor, Literary Criticism, Philosophy, Religion",Audiobook,Owned,"May 17, 2024",No,googleBooks,Finished,"May 17, 2024","May 22, 2024",0/5
hoGkPfds4tAC,Fight Club: A Novel,Chuck Palahniuk,,9780393066395,,W. W. Norton & Company,2005,224,"Satire, Psychological, Dystopian",Audiobook,Owned,"Jun 8, 2024",No,googleBooks,Finished,,"Jun 8, 2024",0/5
yBJShX4BLVYC,Anna Karenina,Leo Tolstoy,,9780679783305,,Random House Publishing Group,2000,976,"Classics, Literary, Romance",Audiobook,Owned,"Jun 8, 2024",No,googleBooks,Finished,"Jun 8, 2024","Jun 21, 2024",0/5
CSipEAAAQBAJ,Regime Change,Patrick Deneen,,9781800753303,,Swift Press,2023,288,Philosophy,Hardcover,Owned,"Jun 8, 2024",No,googleBooks,Finished,"Jun 8, 2024","Nov 9, 2024",0/5
zRUN0AEACAAJ,The First Minute,Fenning,,9788119373499,,Repro India Limited,2023,128,Business & Economics,Paperback,Not Owned,"Jun 23, 2024",No,googleBooks,Wishlist,,,0/5
iITzzQEACAAJ,Eloquence,Peter Andrei,,9798679682641,,Amazon Digital Services LLC - Kdp,2020,284,Language Arts & Disciplines,Paperback,Owned,"Jul 7, 2024",No,googleBooks,Wishlist,,,0/5
FLum3ZYdfuQC,The Columbian Orator,Caleb Bingham,,9781605202952,,"Cosimo, Inc.",2011,306,"Language Arts & Disciplines, Law, Reference",Paperback,Not Owned,"Jul 8, 2024",No,googleBooks,Wishlist,,,0/5
BN2JDQAAQBAJ,All the Pretty Horses,Cormac McCarthy,,9780679744399,,Knopf Doubleday Publishing Group,1993,320,"Literary, Westerns, Sagas",Audiobook,Owned,"Jul 12, 2024",No,googleBooks,Finished,,"Jul 12, 2024",0/5
S6BJ94y1jnwC,No Country for Old Men,Cormac McCarthy,,9780307390530,,Knopf Doubleday Publishing Group,2007,320,"Literary, Westerns, Sagas",Audiobook,Owned,"Jul 12, 2024",No,googleBooks,Finished,,"Jul 12, 2024",0/5
K4X2xwEACAAJ,Exactly What to Say,PHIL. JONES,,9781989603079,,"Page Two Books, Incorporated",2020,208,"Business & Economics, Self-Help",Paperback,Owned,"Jul 13, 2024",No,googleBooks,Wishlist,,,0/5
pbqkDwAAQBAJ,The Coddling of the American Mind,Greg Lukianoff,,9780735224919,,Penguin,2019,352,"Social Science, Education, Psychology",Audiobook,Owned,"Jul 13, 2024",No,googleBooks,Finished,,"Jul 13, 2024",0/5
wGkbEAAAQBAJ,Being the Bad Guys,Stephen McAlpine,,9781784985912,,The Good Book Company,2021,144,Religion,Paperback,Not Owned,"Aug 13, 2024",No,googleBooks,Wishlist,,,0/5
1u6_DwAAQBAJ,No Rules Rules,Reed Hastings,,9781984877871,,Penguin,2020,320,Business & Economics,Paperback,Not Owned,"Sep 11, 2024",No,googleBooks,Wishlist,,,0/5
37786022,"Storyworthy: Engage, Teach, Persuade, and Change Your Life through the Power of Storytelling",Matthew Dicks,,9781608685486,,,0,0,,Audiobook,Owned,"Oct 23, 2024",No,goodreads,Finished,,"Nov 14, 2024",0/5
ldMvEAAAQBAJ,Gun Lap,Robert Wolgemuth,,9781087740485,B0929HYM5J,B&H Publishing Group,2021,240,Religion,eBook,Owned,"Nov 14, 2024",No,googleBooks,To Read,,,0/5
KSk-DwAAQBAJ,The Call,Os Guinness,,9780785220107,,Thomas Nelson,2018,384,Religion,Audiobook,Owned,"Nov 14, 2024",No,googleBooks,Finished,,"Dec 30, 2024",0/5
p6_sEAAAQBAJ,Shepherds for Sale,Megan Basham,,9780063413450,,HarperCollins,2024,352,"Religion, Political Science",Hardcover,Owned,"Nov 14, 2024",No,googleBooks,Abandoned,,,0/5
evw5ywEACAAJ,The Science of Rapid Skill Acquisition,Peter Hollins,,9781647430498,,"Pkcs Media, Incorporated",2019,256,"Business & Economics, Education, Psychology, Self-Help",Paperback,Not Owned,"Dec 6, 2024",No,googleBooks,Wishlist,,,0/5
29wHEQAAQBAJ,Main Street Millionaire,Codie Sanchez,,9780593718612,,Penguin Group,2024,272,Business & Economics,Paperback,Not Owned,"Dec 6, 2024",No,googleBooks,Wishlist,,,0/5
y1ebEAAAQBAJ,God and Money,Gregory Baumer,,9781628624076,,Rose Publishing,2016,224,"Religion, Social Science",Paperback,Not Owned,"Dec 6, 2024",No,googleBooks,Wishlist,,,0/5
tPkZ3WU1BM8C,"On Writing Well, 30th Anniversary Edition",William Zinsser,,9780060891541,,Harper Collins,2006,336,Reference,Paperback,Not Owned,"Dec 6, 2024",No,googleBooks,Wishlist,,,0/5
4WN5DwAAQBAJ,Seculosity,David Zahl,,9781506449449,,Fortress Press,2019,211,"Religion, Social Science",Paperback,Not Owned,"Dec 6, 2024",No,googleBooks,Wishlist,,,0/5
MfgZEAAAQBAJ,Recovering the Lost Art of Reading,Leland Ryken,,9781433564307,,Crossway,2021,304,Literary Criticism,Paperback,Not Owned,"Dec 6, 2024",No,googleBooks,Wishlist,,,0/5
wAOzEAAAQBAJ,Personality and Worldview,J. H. Bavinck,1433584867,9781433584862,,Crossway,2023,208,Religion,Hardcover,Owned,"Dec 30, 2024",No,googleBooks,Reading,"Dec 30, 2024",,0/5
odZAvQEACAAJ,Christian Worldview,Herman Bavinck,1433563215,9781433563218,,Crossway,2019,140,Religion,Paperback,Not Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
CFD1040E-183B-42E9-95E6-F75D2B55AE26,Christian Higher Education: An Empirical Guide,"Glanzer, Perry L.Cockle, Theodore F.Martin, Jessica",,,B0C86R4D71,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
FD884F76-63CB-4C3F-A167-0483357C8013,The Amazing Dr. Ransom's Bestiary of Adorable Fallacies: A Field Guide for Clear Thinkers,"Wilson, DouglasWilson, N.D.",,,B078YF1XLQ,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
TkIvEQAAQBAJ,A Praying Life,Paul E. Miller,1631466836,9781631466830,B06Y195TG9,NavPress,2017,304,Religion,Paperback,Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
98B6C5C8-A930-4F09-B6DA-624D358A0A08,Extreme Ownership: How U.S. Navy SEALs Lead and Win,"Willink, JockoBabin, Leif",,,B0739PYQSS,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
D9043A41-727F-4274-9579-99B24DC08F5F,"Psalms: Real Prayers for Real Life, Study Guide with Leader's Notes (The Gospel-Centered Life in the Bible)","Juliani, Barbara MillerKnaak, Patric",,,B098TMWZGP,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
Cp4szQEACAAJ,Prosperity for All Nations,Raza Hasan,1734471913,9781734471915,B088PYW5W2,Prosperity Web,2020,278,Political Science,Paperback,Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
mO9mEAAAQBAJ,From Caligari to Hitler,Siegfried Kracauer,0691191344,9780691191348,B07K62PTMV,Princeton University Press,2019,432,"Performing Arts, History, Social Science",Paperback,Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
CC20EC5D-EEA7-4C1E-A588-C8F3025843FE,Software Estimation: Demystifying the Black Art (Developer Best Practices),McConnell Steve,,,B00JDMPOVQ,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
7E42FCEE-613D-4CFA-9A1C-FC96D07717A6,"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive","Horsley, KevinHorsley, Kevin",,,B00I3QS1XQ,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
CE5CD723-D4E5-4DF8-84A4-186201E6ABBF,German Men Sit Down To Pee And Other Insights Into German Culture,"Cave, JamesFrank, Niklas",,,B018JEOCL6,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
ILQzAQAAMAAJ,The Aeneid of Virgil,Virgil,,,B084V95TJ4,Eldredge & Brother,1868,416,,Paperback,Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
2A075775-E631-41B3-BFFF-7E4812A4BDFA,Remote: Office Not Required,"Fried, JasonHeinemeier Hansson, David",,,B00C0ALZ0W,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
E7ADDC34-26ED-4CE4-9DCE-4AC927A159CE,Dynamics of Spiritual Life: An Evangelical Theology of Renewal,"Lovelace, Richard F.Lovelace, Richard F.",,,B07V6ZW9C2,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
h8EHPXJI34MC,Harry the Dirty Dog,Gene Zion,0060268654,9780060268657,B00635U9K2,Harper Collins,1956,32,Juvenile Fiction,Paperback,Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
2WZ7DQAAQBAJ,The Sacred Enneagram,Christopher L. Heuertz,0310348153,9780310348153,B01N0CSDNX,Zondervan,2017,272,"Religion, Psychology, Body, Mind & Spirit, Family & Relationships",Paperback,Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
56A2187D-642E-4E6E-8BB0-6A16461E5F06,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win","Kim, GeneBehr, KevinSpafford, GeorgeKim, GeneBehr, KevinSpafford, George",,,B078Y98RG8,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
0EC01C7E-D075-489F-81C8-567E266472AA,Rick Is Sick,"McPhail, DavidMcPhail, David",,,B00E8OKFYU,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
9A1C7B33-ECFA-4275-9CED-ECAE49B45A38,"Sarah, Plain and Tall (Sarah, Plain and Tall Saga Book 1)","MacLachlan, PatriciaMacLachlan, Patricia",,,B00BS8SO9M,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
F6L3EAAAQBAJ,The Art of War,Thomas Cleary,083484575,9780834845756,,Shambhala Publications,2024,192,"Philosophy, History, Business & Economics",Paperback,Not Owned,"Dec 30, 2024",No,googleBooks,Finished,"Feb 9, 2024","Feb 9, 2024",0/5
9F0ED84B-2305-4844-AAFC-D17899ACD5EB,Pastured Poultry Profit$,"Salatin, JoelSalatin, Joel",,,B07BB5TP3P,,0,0,,Paperback,Owned,"Dec 30, 2024",No,manual,Wishlist,,,0/5
xK85swEACAAJ,The Odyssey (AmazonClassics Edition),Homer,1542047536,9781542047531,B071JBJTFY,Amazon Publishing,2017,524,"Classics, Fairy Tales, Folk Tales, Legends & Mythology, Poetry",Paperback,Owned,"Dec 30, 2024",No,googleBooks,Wishlist,,,0/5
